ExportComments.com,,,,,,
Source URL,https://www.instagram.com/p/CJxou7GBvDf/,,,,,
"CLICK HERE TO EXPORT ALL 11,409 COMMENTS FOR ONLY $45",,,,,,
,,,,,,
,,,,,,
,,Name (click to view profile),Date,Likes,Comment,(view source)
60,,silentstrawb,24/04/22 08:50:50,0,you deserve everything olivia 💕✨,view comment
61,,tasarms7ean,29/04/22 23:26:19,0,❤️,view comment
62,,pegahh.prf,02/05/22 16:55:56,0,Awwwww,view comment
63,,naldodaking,03/05/22 06:15:31,0,omggg you are inspired i am listening to you i support you i deserve you and you preach the word that people care about what you have to say I’m so proud of you of your single if drivers license is finally out congrats babe you didn’t good job 👏,view comment
64,,saycucci,05/05/22 15:02:50,0,يوم محد كام يعرف اوليف😢❤️,view comment
65,,jazleenluna,07/05/22 16:28:50,0,@lmao_sallymae tell that to her three grammys,view comment
66,,jazleenluna,07/05/22 16:29:17,0,@lmao_sallymae yk there's videos of her singing live down you just have scroll bud,view comment
67,,_selenacutephotos,09/05/22 16:49:33,0,😍,view comment
68,,willowgoehl,16/05/22 18:13:57,0,I loveee ittt,view comment
69,,believe_7777777,16/05/22 20:30:52,0,Love ❤️,view comment
70,,thv_quotes___,18/05/22 14:45:50,0,Really ...thinking how damn lucky I am 9n becoming your bestieeee❤️❤️❤️❤️❤️❤️,view comment
71,,sdelayharakiri,21/05/22 08:20:33,0,I LOVE YOU SO SO MUCH !,view comment
72,,asphodel_cosmos,21/05/22 15:33:10,0,🥲,view comment
73,,yok_naz,24/05/22 19:27:14,0,🇹🇷🕷️🕸️,view comment
74,,tymgurl,25/05/22 02:42:32,0,Ilysmm,view comment
75,,eunicematilde_,27/05/22 04:49:02,0,❤️❤️,view comment
76,,eunicematilde_,27/05/22 04:49:06,0,❤️❤️,view comment
77,,pameluvsyou,29/05/22 21:03:21,0,I think i saw this on your movie on Disney+.,view comment
78,,baricalou,05/06/22 09:16:21,0,congrats👏👏👏,view comment
79,,goli.dadgar2,17/06/22 18:45:27,0,Queen,view comment
80,,goli.dadgar2,17/06/22 18:45:34,0,best,view comment
81,,cassandra_0034,25/06/22 21:08:28,0,Congratulations ❤️,view comment
82,,mellysafiira,04/07/22 23:06:14,0,Luv❣️❣️,view comment
83,,alicisfran,13/07/22 20:48:06,0,❤️❤️❤️❤️❤️❤️❤️,view comment
84,,alicisfran,13/07/22 20:48:14,0,Amooooo,view comment
