"S. no  ",Username,Date,Likes,Comment
,,,,
,"Media Link : https://www.tiktok.com/@itsjojosiwa/7101004079211564331/","Exported On : 08/26/2022 4:24 PM",,"Exported Using MaveSave.Com, Thanks For Choosing Us."
76,ilovestitch587,"Jul 12th, 2022, 2:11 AM",0,"I saw this one first"
77,elise_crichton2.0,"Jul 12th, 2022, 12:40 AM",0,0%
78,xxmei._.xx,"Jul 11th, 2022, 8:42 AM",0,"I saw this one first ✨"
79,samanthadodge948,"Aug 3rd, 2022, 4:37 PM",0,this
80,nomoredeleted2,"Jul 11th, 2022, 6:20 AM",0,1%
81,psilly14,"Jul 9th, 2022, 7:23 PM",0,"Yesterday I saw the pool today I did I just say pool"
82,glittersparkles0808,"Jul 9th, 2022, 4:34 PM",0,"it's ok"
83,allyrose077,"Jul 9th, 2022, 1:48 PM",0,"The first one i saw"
84,debbiecogdill165,"Jul 9th, 2022, 5:50 AM",0,😇
85,sandrabryant675,"Jul 9th, 2022, 1:23 AM",1,"The one with0 first"
86,sandrabryant675,"Jul 9th, 2022, 1:22 AM",0,"I saw the one with0"
87,lilssecret._.spam,"Jul 8th, 2022, 12:07 PM",0,"this is like 20%"
88,nicki_new.main,"Jul 8th, 2022, 5:18 AM",0,"this lne"
89,selenachand,"Jul 7th, 2022, 7:25 PM",0,"this one"
90,robloxlover_466,"Jul 7th, 2022, 4:18 PM",1,No
91,savannahmesa,"Jul 7th, 2022, 7:46 AM",0,"I’ve never seen jojo this calm"
92,xxlilyloupandaxx,"Jul 7th, 2022, 5:26 AM",0,"This one lol"
93,magneabackup,"Jul 7th, 2022, 12:40 AM",0,"this and this dont feel right i think the other one would feel way more right"
94,hannaht982,"Jul 6th, 2022, 10:35 PM",0,😁
95,tonboy888,"Jul 6th, 2022, 4:05 PM",0,100000%
96,swaggy_layla18,"Jul 6th, 2022, 12:33 PM",0,Thisss
97,lexie_a11,"Jul 6th, 2022, 11:15 AM",0,"she is dancing to money don't when the song is it's abt dang time"
98,quinng7990,"Jul 5th, 2022, 9:40 PM",0,"This one"
99,linadaamound,"Jul 5th, 2022, 8:57 PM",0,"0%this one"
100,cowkar_1,"Jul 5th, 2022, 7:46 PM",0,0%
101,tinyskateboard_bike_xoxo,"Jul 5th, 2022, 7:09 PM",0,This
102,ainsleyprofit,"Aug 3rd, 2022, 9:24 PM",0,"this one"
103,bri.isratbomb,"Jul 5th, 2022, 4:13 PM",0,"I can"
104,heather__1977,"Aug 10th, 2022, 11:12 PM",0,0%
105,random__wow3,"Jul 5th, 2022, 3:27 PM",0,"I saw the 100% one first"
106,allhail_kingbob69,"Jul 5th, 2022, 1:36 PM",0,"This one"
107,claragracewingo,"Jul 5th, 2022, 9:06 AM",0,"The other one"
108,zhane_millerwalker,"Jul 5th, 2022, 7:55 AM",0,"0% 😥😥"
109,chrissy_crumble_time,"Jul 5th, 2022, 3:11 AM",0,"okay its good but is that a TWICE shirt your wearing???"
110,notorious.niy,"Jul 5th, 2022, 12:36 AM",0,This
111,lalauniaudrey,"Jul 4th, 2022, 7:34 PM",0,100Percent
112,bethanymccoy09,"Jul 4th, 2022, 7:23 PM",0,This
113,eddielovese,"Jul 4th, 2022, 7:18 PM",0,"Yes !!"
114,buckethead..izzy,"Jul 4th, 2022, 6:50 PM",0,0%
115,user1676014467hellothere,"Jul 4th, 2022, 12:47 PM",0,"i think is i see 5% or 7%"
116,besties.829,"Jul 4th, 2022, 12:46 PM",0,This
117,jesseniaj49,"Jul 4th, 2022, 6:28 AM",0,this
118,tipsforgirls123_0,"Jul 4th, 2022, 1:50 AM",0,"U saw this one first"
119,monkeytiktok5201,"Jul 3rd, 2022, 11:16 PM",0,0%
120,inosuke._.official1119,"Jul 3rd, 2022, 7:11 PM",0,"I saw this one"
121,avazvibesz_,"Jul 3rd, 2022, 5:59 PM",0,"baseball boy energy"
122,the_favorite_chlid_jovi,"Jul 3rd, 2022, 5:26 PM",0,"3% Energy"
123,nancymccann0,"Jul 3rd, 2022, 12:07 PM",0,"I just noticed Jojo is left-handed‼️🤩"
124,sencity0822,"Jul 3rd, 2022, 1:28 AM",0,"I am getting a dog and a cat"
125,montanacountrygirl1112,"Jul 2nd, 2022, 8:59 PM",0,"me doing dances during the week when school starts back up 😂😂😂"
126,douglassdog7,"Jul 2nd, 2022, 8:49 PM",7,"I saw this one first"
127,cwoodfry,"Jul 2nd, 2022, 5:43 PM",0,First
128,cwoodfry,"Jul 2nd, 2022, 5:42 PM",0,0%
129,elysewatkins16,"Jul 2nd, 2022, 3:28 AM",0,"this one"
130,dancer4ngd_maddie301,"Jul 1st, 2022, 9:27 PM",0,"This one 😂😂😂"
131,marii_spammmmms0,"Jul 1st, 2022, 6:43 PM",0,Thisss
132,igl438,"Jul 1st, 2022, 6:30 PM",0,".0% energy"
133,i_quit1234567890,"Jul 1st, 2022, 12:20 PM",0,"I seen this one first"
134,idalyrodarte.0,"Jul 1st, 2022, 6:30 AM",0,"Ur such a mood 😭🫶🏽"
135,screamfan2nd,"Jun 30th, 2022, 11:03 PM",8,0%
136,margogaleas,"Jun 30th, 2022, 12:40 AM",1,coooool😁
137,blackwolfandi,"Jun 29th, 2022, 7:16 PM",0,"0% so this one 😳"
138,edits.comgal,"Jun 29th, 2022, 5:47 PM",1,0%
139,risikaxx,"Jun 29th, 2022, 1:32 PM",0,"this one"
140,skate_and_soccer_4_ever,"Jun 29th, 2022, 10:19 AM",0,"This one"
141,watermellonboy2525,"Jun 29th, 2022, 12:30 AM",0,Hi
142,bruhimarianna,"Jun 29th, 2022, 12:21 AM",0,0%
143,cute_kawaii611,"Jun 28th, 2022, 10:31 PM",0,"JoJo what happened to you're hair??"
