"S. no  ",Username,Date,Likes,Comment
,,,,
,"Media Link : https://www.tiktok.com/@itsjojosiwa/7126978637865209134/","Exported On : 08/26/2022 4:24 PM",,"Exported Using MaveSave.Com, Thanks For Choosing Us."
66,you_are_cute_and_funny,"Aug 15th, 2022, 10:32 AM",0,"omg! u slayed"
67,wika1ksks,"Aug 15th, 2022, 7:21 AM",0,"I still remember when you were little"
68,shialino_stay_moa,"Aug 15th, 2022, 6:48 AM",1,SLAYED
69,mamabearto_2,"Aug 15th, 2022, 6:02 AM",0,"My daughter is a new fan of yours🥰🥰🥰❤️❤️❤️❤️She's 4🥰 Her name is aria 🥰🥰"
70,fivesweetbuns,"Aug 15th, 2022, 3:05 AM",0,"no, just no look at ur old pony and compare JoJo 😭"
71,dance_reveuse,"Aug 15th, 2022, 1:25 AM",0,"Yasssss JOJO"
72,the_sarcastic1,"Aug 15th, 2022, 12:29 AM",0,"I LUV UR NEW STYLE TBH"
73,nemanemetaliz,"Aug 14th, 2022, 8:35 PM",0,"the energy is everything🔥"
74,bellag1821,"Aug 14th, 2022, 8:31 PM",0,"I got the same Sneakers"
75,_julkastolc,"Aug 14th, 2022, 8:23 PM",1,"@aleksandrastolcc boomerang"
76,karos_0_,"Aug 14th, 2022, 8:19 PM",0,"JOJO U ARE SO COOL U ARE ONE OF MY IDOLS🥰!!!!!!!"
77,kinleydowns290,"Aug 14th, 2022, 6:38 PM",0,"I have the same shorts"
78,preppy._syd,"Aug 14th, 2022, 6:11 PM",0,"this dance is literally like made for u"
79,timeoinyair,"Aug 14th, 2022, 4:01 PM",1,"LOVE ITTT!!!!!! ❤️"
80,elisaa_sophiaa,"Aug 14th, 2022, 3:49 PM",1,SLAYYY
81,chiken_nuggets__,"Aug 14th, 2022, 3:46 PM",0,"RED CONVERSE ❤❤❤❤❤❤"
82,mylife4ever00,"Aug 14th, 2022, 2:47 PM",0,"What's the name of the song"
83,01.malvk,"Aug 14th, 2022, 2:05 PM",0,"@65.s4lma I'm gonna come back like a boomerangggggg beowwww"
84,almagonzalez90,"Aug 14th, 2022, 10:31 AM",0,"Good job"
85,cammyxchoco2,"Aug 14th, 2022, 6:27 AM",0,"You so good at dancing 😁"
86,the_stupid69,"Aug 14th, 2022, 5:32 AM",0,"Love the shows and the energy"
87,inkisalifestyle85,"Aug 14th, 2022, 3:33 AM",0,"my body just doesn't move this way I wish I could do it LOL"
88,kayleeparadis13,"Aug 14th, 2022, 3:14 AM",0,"I LOVE YOUR HAIRRRRRR"
89,saysutton7,"Aug 14th, 2022, 2:32 AM",0,"My daughter watches you all the time love it !!"
90,my_baby_kitty07,"Aug 14th, 2022, 2:22 AM",0,"Is this realy you Jojo if it is cool bc you made a good song bumarang"
91,saramariekrueger,"Aug 13th, 2022, 6:11 PM",0,"I know some day you had to grow up( your hair makes you look older) but it makes me sad. My students love JoJo bows"
92,tali__21,"Aug 13th, 2022, 2:56 PM",2,"Do you regret cutting you’re hair or you’ll do it again?"
93,maraca_._,"Aug 13th, 2022, 2:04 PM",0,"This energy 🥰"
94,lynn_.033,"Aug 13th, 2022, 1:44 PM",1,"@🫶🫶 JOJO SIWA PAHAHAH"
95,millie.bobby.brown307,"Aug 13th, 2022, 1:00 PM",0,"You changed alot"
96,nevaaadaa.fpp,"Aug 13th, 2022, 12:09 PM",0,Slayyyy
97,nevaehmcpeak,"Aug 13th, 2022, 6:44 AM",1,"GIRL YOU MOVING I CAN BARELY EVEN MOVE HALF AS FAST GOOD JOB YOU KILLED IT 😁"
98,..theyluvshay._,"Aug 13th, 2022, 12:17 AM",0,"She slays every single time"
99,taehaha,"Aug 12th, 2022, 11:44 PM",0,"I wish i had this much energy"
100,alex_cornflackes,"Aug 12th, 2022, 11:07 PM",0,"you look so cool"
