Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,
1524870325221064705,hailee steinfeld &amp; olivia rodrigo standing in front of billboard signs https://t.co/bOIO33x26L,hailivia thinker ?,thinkerhailivia,2022-05-12T21:53:10.000Z,Thu May 12 21:53:10 +0000 2022,46,5,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSltellWYCI-LAk.jpg,https://pbs.twimg.com/media/FSltelnWYA4ABpZ.jpg,
1524182276636127234,@actthevism beautiful,hailivia thinker ?,thinkerhailivia,2022-05-11T00:19:07.000Z,Wed May 11 00:19:07 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,
1524173811540803585,hailee steinfeld &amp; olivia rodrigo are the prettiest views you could have https://t.co/MWcCxzynXN,hailivia thinker ?,thinkerhailivia,2022-05-10T23:45:29.000Z,Tue May 10 23:45:29 +0000 2022,60,8,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSb0AIbWQAEJbxR.jpg,https://pbs.twimg.com/media/FSb0AIYXsAEcPhA.jpg,
1523737487247429633,hailee steinfeld &amp; olivia rodrigo wearing a cap https://t.co/6SaHRcVWk5,hailivia thinker ?,thinkerhailivia,2022-05-09T18:51:41.000Z,Mon May 09 18:51:41 +0000 2022,39,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSVnKtQWQAAxocy.jpg,https://pbs.twimg.com/media/FSVnKtmXEAASaOc.jpg,
1523051369703567361,"edit by me
ac. emeditaudios on instagram",hailivia thinker ?,thinkerhailivia,2022-05-07T21:25:18.000Z,Sat May 07 21:25:18 +0000 2022,1,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,
1523051223217152001,hailee steinfeld &amp; olivia rodrigo's beauty secrets with vogue &lt;3 https://t.co/Abe5KOIRx4,hailivia thinker ?,thinkerhailivia,2022-05-07T21:24:43.000Z,Sat May 07 21:24:43 +0000 2022,395,50,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1523051181349736448/pu/vid/540x540/zou5h0iqycS-5gEp.mp4?tag=12,,
1522718726193393666,no thoughts just hailee steinfeld &amp; olivia rodrigo in pink https://t.co/r8NLY4h69k,hailivia thinker ?,thinkerhailivia,2022-05-06T23:23:29.000Z,Fri May 06 23:23:29 +0000 2022,29,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSHIm2IXoAMdeps.jpg,https://pbs.twimg.com/media/FSHIm2IXIAEPwQg.jpg,
1522655246631251969,hailee steinfeld &amp; olivia rodrigo in a bathtub https://t.co/LIroVWAERM,hailivia thinker ?,thinkerhailivia,2022-05-06T19:11:15.000Z,Fri May 06 19:11:15 +0000 2022,29,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSGO36QXwAMFNUA.jpg,https://pbs.twimg.com/media/FSGO37jXoAIp1NG.jpg,
1522327806901899264,hailee steinfeld &amp; olivia rodrigo having a photoshoot in an elevator https://t.co/TidLg74n4N,hailivia thinker ?,thinkerhailivia,2022-05-05T21:30:07.000Z,Thu May 05 21:30:07 +0000 2022,41,4,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSBlD9hX0AEi-o7.jpg,https://pbs.twimg.com/media/FSBlD9iXIAMBdMK.jpg,
1522324436208267265,@Iivsart thank you ??,hailivia thinker ?,thinkerhailivia,2022-05-05T21:16:43.000Z,Thu May 05 21:16:43 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,
1521896482605092864,honorable mention: https://t.co/5i1QcPr3fN,hailivia thinker ?,thinkerhailivia,2022-05-04T16:56:11.000Z,Wed May 04 16:56:11 +0000 2022,4,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,photo,https://pbs.twimg.com/media/FR7cyJbXoAAdNNJ.jpg,,
1521896341965783042,hailee steinfeld &amp; olivia rodrigo with cupcakes https://t.co/sSTA8y1zGQ,hailivia thinker ?,thinkerhailivia,2022-05-04T16:55:38.000Z,Wed May 04 16:55:38 +0000 2022,72,6,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FR7cp6ZXMAADc10.jpg,https://pbs.twimg.com/media/FR7cp6cWYAIYcGb.jpg,
1521590580899373056,hailee steinfeld &amp; olivia rodrigo wearing purple eyeshadow https://t.co/iT6uuw4qZK,hailivia thinker ?,thinkerhailivia,2022-05-03T20:40:38.000Z,Tue May 03 20:40:38 +0000 2022,667,68,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FR3GkStWYAEfQeO.jpg,https://pbs.twimg.com/media/FR3GkSrXoAcxBVs.jpg,
1521221720744546305,hailee steinfeld &amp; olivia rodrigo are amongst the honorees on gold house's 2022 most impactful asians a100 list. https://t.co/cAiIVp8f6H,hailivia thinker ?,thinkerhailivia,2022-05-02T20:14:55.000Z,Mon May 02 20:14:55 +0000 2022,68,19,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FRx3FuyWQAQWTdK.jpg,https://pbs.twimg.com/media/FRx3FutXsAAugMP.jpg,
